peca;material;vol_mm;area_mm;dim_mm;esp_mm;massa_carga;c_min;r_min
1.1;17NiCrMo7;186544.7;41893.07;355.6;17.25;52.78468831;250;104
1.2;19MnCr5;186544.7;41893.07;355.6;17.25;52.78468831;250;104
2.1;17NiCrMo7;242312.94;35264.44;1897.07;17.9;68.5648695;300;220
2.2;19MnCr5;242312.94;35264.44;1897.07;17.9;68.5648695;300;220
3.1;17NiCrMo7;203396.73;67264.91;186.12;4.5;51.15834553;250;104
3.2;19MnCr5;203396.73;67264.91;186.12;4.5;51.15834553;250;104
3.3;19MnCr5;203396.73;67264.91;186.12;4.5;51.15834553;250;104
4.1;17NiCrMo7;156955.97;35249.49;116.39;8.6;74.02043545;300;220
4.2;19MnCr5;156955.97;35249.49;116.39;8.6;74.02043545;300;220
5.1;17NiCrMo7;123086.36;30118.19;104.34;8.5;58.04752738;300;104
5.2;19MnCr5;123086.36;30118.19;104.34;8.5;58.04752738;300;104
6.1;20NiCrMo2;70310.77;17401.96;90.95;5.6;49.7378387;250;104
7.1;20NiCrMo2;42009.32;16669.13;76.9;4.6;36.32125807;250;104
8.1;20NiCrMo2;63729.38;14323.99;74.9;7.1;84.1533717;250;104
9.1;20NiCrMo2;28908.12;12845.34;63.41;3.75;27.26613878;250;104
10.1;20NiCrMo2;48602.97;14478.1;75.3;6.3;45.8423213;250;104
11.1;20NiCrMo2;56274.29;18792.85;77.64;5.9;58.38570136;300;104
12.1;17NiCrMo7;61552.39;28455.42;106.84;3.2;61.92662853;250;104
12.2;19MnCr5;61552.39;28455.42;106.84;3.2;61.92662853;250;104
13.1;19MnCr5;25861.91;17157.39;87.05;3.2;40.65492252;250;104
14.1;19MnCr5;25948.11;15808.59;77.43;2.5;51.39594044;250;104
15.1;19MnCr5;84750.91;29074.74;83;6.9;49.96066145;300;220
15.2;19MnCr5;84750.91;29074.74;83;6.9;49.96066145;300;220
15.3;19MnCr5;84750.91;29074.74;83;6.9;49.96066145;300;220
16.1;16NiCrMo12;10890.02;4795.19;45.5;4;27.3905783;300;220
16.2;16NiCrMo12;10890.02;4795.19;45.5;4;27.3905783;300;220
16.3;16NiCrMo12;10890.02;4795.19;45.5;4;27.3905783;300;220
17.1;19MnCr5;38206.87;19004.88;67.09;5.7;51.05201969;250;104
17.2;17NiCrMo7;38206.87;19004.88;67.09;5.7;51.05201969;250;104
